g,lam,delta,GD,kappa,alpha,pO1_mean,slope_WLS_mean,R2_WLS_mean,habit1_mean,habit0_mean,pO1_median,slope_WLS_median,R2_WLS_median,habit1_median,habit0_median
0.25,0.1,0.068,7.5,0.65,7.5,0.081,-2.4181,0.9933,0.058,0.823,0.082,-2.4201,0.9931,0.071,0.795
0.25,0.1,0.097,7.5,0.65,7.5,0.057,-2.097,0.9484,0.04,0.93,0.058,-2.0962,0.9491,0.002,0.972
0.25,0.1,0.126,7.5,0.65,7.5,0.041,-1.6751,0.881,0.291,0.702,0.043,-1.6667,0.8806,0.008,0.983
0.25,0.1,0.155,7.5,0.65,7.5,0.019,-1.3359,0.8065,0.0,0.998,0.018,-1.3233,0.8094,0.0,0.998
0.25,0.1,0.184,7.5,0.65,7.5,0.006,-1.0438,0.7041,0.0,1.0,0.007,-1.0022,0.697,0.0,1.0
0.25,0.1,0.213,7.5,0.65,7.5,0.002,-0.8754,0.6077,0.0,1.0,0.002,-0.8602,0.5864,0.0,1.0
0.25,0.1,0.242,7.5,0.65,7.5,0.001,-0.9872,0.6423,0.0,1.0,0.001,-0.5392,0.5745,0.0,1.0
0.25,0.1,0.271,7.5,0.65,7.5,0.0,nan,nan,0.0,1.0,0.0,-1.4848,0.5519,0.0,1.0
0.25,0.1,0.3,7.5,0.65,7.5,0.0,nan,nan,0.0,1.0,0.0,nan,nan,0.0,1.0
0.25,0.125,0.068,7.5,0.65,7.5,0.111,-2.3521,0.998,0.082,0.723,0.11,-2.3562,0.998,0.067,0.761
0.25,0.125,0.097,7.5,0.65,7.5,0.084,-2.1733,0.9816,0.038,0.884,0.084,-2.1706,0.9808,0.029,0.897
0.25,0.125,0.126,7.5,0.65,7.5,0.081,-1.8616,0.9429,0.164,0.809,0.081,-1.8648,0.943,0.207,0.761
0.25,0.125,0.155,7.5,0.65,7.5,0.061,-1.5821,0.8941,0.042,0.953,0.059,-1.5872,0.8937,0.0,0.995
0.25,0.125,0.184,7.5,0.65,7.5,0.035,-1.3222,0.8476,0.087,0.911,0.036,-1.3114,0.8476,0.0,0.998
0.25,0.125,0.213,7.5,0.65,7.5,0.021,-1.042,0.8048,0.0,0.999,0.022,-1.041,0.8069,0.0,0.999
0.25,0.125,0.242,7.5,0.65,7.5,0.009,-0.8292,0.7209,0.0,1.0,0.008,-0.8247,0.7197,0.0,1.0
0.25,0.125,0.271,7.5,0.65,7.5,0.004,-1.1729,0.6769,0.0,1.0,0.003,-0.7019,0.6649,0.0,1.0
0.25,0.125,0.3,7.5,0.65,7.5,0.002,-0.689,0.696,0.0,1.0,0.001,-0.4887,0.7125,0.0,1.0
0.25,0.15,0.068,7.5,0.65,7.5,0.132,-2.2171,0.852,0.059,0.683,0.132,-2.3025,0.9972,0.06,0.699
0.25,0.15,0.097,7.5,0.65,7.5,0.106,-2.1728,0.9924,0.115,0.762,0.105,-2.1738,0.9927,0.101,0.768
0.25,0.15,0.126,7.5,0.65,7.5,0.097,-1.9546,0.9689,0.09,0.859,0.097,-1.9581,0.9689,0.08,0.877
0.25,0.15,0.155,7.5,0.65,7.5,0.092,-1.7371,0.9384,0.087,0.892,0.093,-1.7379,0.939,0.023,0.957
0.25,0.15,0.184,7.5,0.65,7.5,0.078,-1.5108,0.9013,0.138,0.852,0.079,-1.4945,0.9002,0.149,0.843
0.25,0.15,0.213,7.5,0.65,7.5,0.057,-1.2995,0.864,0.19,0.807,0.058,-1.3132,0.8635,0.0,0.997
0.25,0.15,0.242,7.5,0.65,7.5,0.033,-1.0918,0.8353,0.166,0.832,0.033,-1.1007,0.8356,0.0,0.999
0.25,0.15,0.271,7.5,0.65,7.5,0.023,-0.9171,0.8098,0.0,1.0,0.021,-0.9206,0.814,0.0,0.999
0.25,0.15,0.3,7.5,0.65,7.5,0.01,-0.8361,0.7262,0.0,1.0,0.008,-0.8452,0.7487,0.0,1.0
0.25,0.175,0.068,7.5,0.65,7.5,0.149,-2.7349,0.7378,0.062,0.627,0.15,-2.7134,0.6993,0.06,0.621
0.25,0.175,0.097,7.5,0.65,7.5,0.123,-2.1529,0.9963,0.092,0.737,0.122,-2.1554,0.9963,0.053,0.785
0.25,0.175,0.126,7.5,0.65,7.5,0.109,-1.995,0.9819,0.145,0.766,0.108,-2.0067,0.9817,0.167,0.737
0.25,0.175,0.155,7.5,0.65,7.5,0.11,-1.8038,0.9578,0.061,0.905,0.11,-1.7992,0.9575,0.011,0.952
0.25,0.175,0.184,7.5,0.65,7.5,0.107,-1.6307,0.9319,0.095,0.888,0.106,-1.6321,0.9332,0.011,0.971
0.25,0.175,0.213,7.5,0.65,7.5,0.092,-1.457,0.9034,0.183,0.809,0.092,-1.45,0.9018,0.0,0.991
0.25,0.175,0.242,7.5,0.65,7.5,0.075,-1.276,0.8736,0.063,0.934,0.073,-1.2793,0.8768,0.007,0.986
0.25,0.175,0.271,7.5,0.65,7.5,0.053,-1.1155,0.8473,0.0,0.999,0.052,-1.1216,0.846,0.0,0.999
0.25,0.175,0.3,7.5,0.65,7.5,0.032,-0.9444,0.8323,0.0,1.0,0.029,-0.9483,0.8357,0.0,1.0
0.25,0.2,0.068,7.5,0.65,7.5,0.163,-2.6211,0.795,0.08,0.553,0.164,-2.4581,0.9355,0.091,0.548
0.25,0.2,0.097,7.5,0.65,7.5,0.141,-2.19,0.8751,0.082,0.692,0.141,-2.1208,0.9969,0.089,0.695
0.25,0.2,0.126,7.5,0.65,7.5,0.121,-2.018,0.99,0.08,0.793,0.121,-2.0256,0.9899,0.068,0.814
0.25,0.2,0.155,7.5,0.65,7.5,0.116,-1.8548,0.9728,0.12,0.82,0.116,-1.8575,0.9733,0.1,0.839
0.25,0.2,0.184,7.5,0.65,7.5,0.116,-1.7066,0.9537,0.094,0.875,0.116,-1.709,0.9545,0.075,0.893
0.25,0.2,0.213,7.5,0.65,7.5,0.119,-1.5331,0.9285,0.057,0.931,0.119,-1.531,0.9272,0.052,0.935
0.25,0.2,0.242,7.5,0.65,7.5,0.115,-1.3846,0.9009,0.123,0.87,0.114,-1.3795,0.8997,0.059,0.935
0.25,0.2,0.271,7.5,0.65,7.5,0.092,-1.2547,0.8768,0.069,0.926,0.09,-1.2531,0.8769,0.002,0.994
0.25,0.2,0.3,7.5,0.65,7.5,0.072,-1.1097,0.8539,0.084,0.915,0.07,-1.1029,0.8501,0.0,0.999
0.25,0.225,0.068,7.5,0.65,7.5,0.171,-2.8615,0.8081,0.077,0.527,0.169,-2.9609,0.8432,0.078,0.521
0.25,0.225,0.097,7.5,0.65,7.5,0.152,-2.2272,0.8196,0.102,0.639,0.152,-2.1211,0.8182,0.085,0.645
0.25,0.225,0.126,7.5,0.65,7.5,0.135,-1.9966,0.993,0.104,0.743,0.135,-1.9992,0.993,0.104,0.741
0.25,0.225,0.155,7.5,0.65,7.5,0.124,-1.8801,0.9824,0.16,0.739,0.126,-1.8794,0.982,0.199,0.699
0.25,0.225,0.184,7.5,0.65,7.5,0.125,-1.7468,0.9659,0.192,0.758,0.124,-1.7484,0.9659,0.153,0.801
0.25,0.225,0.213,7.5,0.65,7.5,0.129,-1.6006,0.9464,0.15,0.823,0.13,-1.6055,0.9473,0.161,0.82
0.25,0.225,0.242,7.5,0.65,7.5,0.133,-1.4681,0.9258,0.321,0.665,0.132,-1.4603,0.9277,0.243,0.742
0.25,0.225,0.271,7.5,0.65,7.5,0.123,-1.352,0.9021,0.032,0.961,0.122,-1.3501,0.9016,0.001,0.993
0.25,0.225,0.3,7.5,0.65,7.5,0.108,-1.2099,0.8788,0.067,0.929,0.104,-1.2054,0.8807,0.0,0.996
0.25,0.25,0.068,7.5,0.65,7.5,0.177,-3.0628,0.8551,0.096,0.479,0.176,-3.1002,0.9067,0.102,0.483
0.25,0.25,0.097,7.5,0.65,7.5,0.16,-1.6731,0.5136,0.066,0.632,0.159,-2.0619,0.5359,0.065,0.64
0.25,0.25,0.126,7.5,0.65,7.5,0.147,-1.9946,0.939,0.104,0.691,0.148,-1.9942,0.9945,0.095,0.694
0.25,0.25,0.155,7.5,0.65,7.5,0.135,-1.8742,0.9865,0.178,0.7,0.135,-1.8747,0.9863,0.189,0.686
0.25,0.25,0.184,7.5,0.65,7.5,0.134,-1.7573,0.9747,0.163,0.76,0.135,-1.7568,0.9749,0.131,0.799
0.25,0.25,0.213,7.5,0.65,7.5,0.132,-1.6492,0.96,0.11,0.847,0.132,-1.6511,0.9593,0.103,0.855
0.25,0.25,0.242,7.5,0.65,7.5,0.142,-1.5184,0.9413,0.337,0.641,0.144,-1.5107,0.9414,0.459,0.517
0.25,0.25,0.271,7.5,0.65,7.5,0.139,-1.4109,0.9214,0.085,0.902,0.138,-1.4201,0.9208,0.103,0.883
0.25,0.25,0.3,7.5,0.65,7.5,0.134,-1.3136,0.9012,0.035,0.956,0.134,-1.3143,0.9027,0.013,0.974
0.25,0.275,0.068,7.5,0.65,7.5,0.182,-2.6834,0.7052,0.095,0.452,0.181,-2.8064,0.7826,0.096,0.464
0.25,0.275,0.097,7.5,0.65,7.5,0.17,-2.5179,0.8675,0.115,0.55,0.17,-2.4605,0.839,0.093,0.565
0.25,0.275,0.126,7.5,0.65,7.5,0.152,-1.9858,0.9954,0.096,0.671,0.152,-1.9851,0.9955,0.087,0.679
0.25,0.275,0.155,7.5,0.65,7.5,0.143,-1.8792,0.9883,0.135,0.702,0.143,-1.8739,0.9881,0.121,0.718
0.25,0.275,0.184,7.5,0.65,7.5,0.138,-1.7782,0.9796,0.111,0.79,0.137,-1.7749,0.9797,0.081,0.801
0.25,0.275,0.213,7.5,0.65,7.5,0.139,-1.6637,0.9681,0.101,0.837,0.139,-1.6643,0.9677,0.094,0.84
0.25,0.275,0.242,7.5,0.65,7.5,0.143,-1.5582,0.9532,0.083,0.885,0.142,-1.5517,0.9528,0.077,0.885
0.25,0.275,0.271,7.5,0.65,7.5,0.146,-1.4611,0.9376,0.205,0.774,0.146,-1.4574,0.9377,0.105,0.877
0.25,0.275,0.3,7.5,0.65,7.5,0.154,-1.3492,0.9199,0.133,0.855,0.156,-1.344,0.9204,0.075,0.909
0.25,0.3,0.068,7.5,0.65,7.5,0.185,-2.8638,0.7906,0.09,0.447,0.186,-2.7806,0.8199,0.093,0.455
0.25,0.3,0.097,7.5,0.65,7.5,0.174,-2.2529,0.7486,0.141,0.491,0.174,-2.0703,0.7278,0.142,0.491
0.25,0.3,0.126,7.5,0.65,7.5,0.162,-2.2186,0.8449,0.12,0.615,0.163,-1.9803,0.867,0.121,0.619
0.25,0.3,0.155,7.5,0.65,7.5,0.152,-1.7954,0.9094,0.109,0.703,0.151,-1.8733,0.9908,0.107,0.693
0.25,0.3,0.184,7.5,0.65,7.5,0.144,-1.7826,0.9832,0.115,0.775,0.143,-1.7848,0.9833,0.087,0.794
0.25,0.3,0.213,7.5,0.65,7.5,0.144,-1.6801,0.9741,0.137,0.786,0.143,-1.6764,0.974,0.111,0.795
0.25,0.3,0.242,7.5,0.65,7.5,0.146,-1.584,0.964,0.121,0.83,0.15,-1.5835,0.964,0.11,0.842
0.25,0.3,0.271,7.5,0.65,7.5,0.153,-1.4941,0.9498,0.213,0.755,0.153,-1.4953,0.9503,0.228,0.738
0.25,0.3,0.3,7.5,0.65,7.5,0.157,-1.4008,0.9342,0.273,0.706,0.155,-1.3967,0.934,0.271,0.711
0.262,0.1,0.068,7.5,0.65,7.5,0.08,-2.4199,0.993,0.045,0.831,0.08,-2.4231,0.9923,0.045,0.835
0.262,0.1,0.097,7.5,0.65,7.5,0.06,-2.0881,0.9511,0.103,0.867,0.061,-2.0792,0.9506,0.017,0.955
0.262,0.1,0.126,7.5,0.65,7.5,0.043,-1.6913,0.891,0.001,0.995,0.044,-1.6792,0.8914,0.0,0.995
0.262,0.1,0.155,7.5,0.65,7.5,0.021,-1.3423,0.8175,0.0,0.997,0.022,-1.3466,0.8164,0.0,0.997
0.262,0.1,0.184,7.5,0.65,7.5,0.005,-1.209,0.6891,0.0,1.0,0.005,-1.133,0.672,0.0,1.0
0.262,0.1,0.213,7.5,0.65,7.5,0.002,-1.1169,0.6135,0.0,1.0,0.002,-0.8608,0.5646,0.0,1.0
0.262,0.1,0.242,7.5,0.65,7.5,0.0,nan,nan,0.0,1.0,0.0,-2.6657,0.5518,0.0,1.0
0.262,0.1,0.271,7.5,0.65,7.5,0.001,nan,nan,0.0,1.0,0.0,nan,nan,0.0,1.0
0.262,0.1,0.3,7.5,0.65,7.5,0.001,nan,nan,0.0,1.0,0.0,nan,nan,0.0,1.0
0.262,0.125,0.068,7.5,0.65,7.5,0.11,-2.3556,0.9981,0.065,0.726,0.11,-2.3559,0.9981,0.087,0.711
0.262,0.125,0.097,7.5,0.65,7.5,0.084,-2.1666,0.982,0.062,0.861,0.083,-2.1576,0.9818,0.037,0.886
0.262,0.125,0.126,7.5,0.65,7.5,0.077,-1.8702,0.9417,0.129,0.848,0.075,-1.8686,0.9419,0.063,0.911
0.262,0.125,0.155,7.5,0.65,7.5,0.064,-1.5725,0.894,0.102,0.89,0.062,-1.5852,0.8933,0.057,0.936
0.262,0.125,0.184,7.5,0.65,7.5,0.041,-1.3159,0.8537,0.0,0.998,0.041,-1.3013,0.8561,0.0,0.997
0.262,0.125,0.213,7.5,0.65,7.5,0.02,-1.0709,0.8021,0.0,1.0,0.02,-1.0727,0.7939,0.0,1.0
0.262,0.125,0.242,7.5,0.65,7.5,0.013,-0.8149,0.7608,0.0,1.0,0.014,-0.8161,0.7633,0.0,1.0
0.262,0.125,0.271,7.5,0.65,7.5,0.004,-0.6633,0.659,0.0,1.0,0.004,-0.687,0.6645,0.0,1.0
0.262,0.125,0.3,7.5,0.65,7.5,0.001,-0.9853,0.6215,0.0,1.0,0.001,-0.5145,0.5463,0.0,1.0
0.262,0.15,0.068,7.5,0.65,7.5,0.131,-2.4086,0.9681,0.099,0.618,0.131,-2.3001,0.9974,0.093,0.615
0.262,0.15,0.097,7.5,0.65,7.5,0.104,-2.1705,0.9917,0.067,0.796,0.105,-2.1689,0.9914,0.064,0.809
0.262,0.15,0.126,7.5,0.65,7.5,0.093,-1.9698,0.9704,0.102,0.844,0.092,-1.9772,0.9705,0.084,0.851
0.262,0.15,0.155,7.5,0.65,7.5,0.096,-1.7099,0.9387,0.045,0.932,0.095,-1.7144,0.9392,0.004,0.974
0.262,0.15,0.184,7.5,0.65,7.5,0.081,-1.5174,0.9023,0.156,0.833,0.08,-1.5197,0.9034,0.073,0.913
0.262,0.15,0.213,7.5,0.65,7.5,0.061,-1.287,0.8698,0.085,0.911,0.061,-1.287,0.8707,0.038,0.959
0.262,0.15,0.242,7.5,0.65,7.5,0.042,-1.0687,0.8387,0.064,0.934,0.042,-1.0655,0.8416,0.0,0.999
0.262,0.15,0.271,7.5,0.65,7.5,0.023,-0.8801,0.7888,0.0,1.0,0.022,-0.8869,0.7936,0.0,1.0
0.262,0.15,0.3,7.5,0.65,7.5,0.012,-0.7188,0.7753,0.0,1.0,0.012,-0.7225,0.7641,0.0,1.0
0.262,0.175,0.068,7.5,0.65,7.5,0.147,-2.985,0.8959,0.072,0.597,0.147,-3.115,0.9192,0.053,0.619
0.262,0.175,0.097,7.5,0.65,7.5,0.122,-2.0011,0.8896,0.118,0.687,0.122,-2.1558,0.9958,0.138,0.675
0.262,0.175,0.126,7.5,0.65,7.5,0.11,-1.9869,0.9827,0.161,0.747,0.11,-1.9911,0.9829,0.19,0.711
0.262,0.175,0.155,7.5,0.65,7.5,0.108,-1.801,0.9608,0.092,0.864,0.106,-1.807,0.961,0.081,0.868
0.262,0.175,0.184,7.5,0.65,7.5,0.105,-1.6265,0.9329,0.107,0.874,0.104,-1.623,0.9339,0.135,0.848
0.262,0.175,0.213,7.5,0.65,7.5,0.097,-1.4349,0.9032,0.066,0.926,0.096,-1.4397,0.9048,0.003,0.989
0.262,0.175,0.242,7.5,0.65,7.5,0.078,-1.2707,0.8776,0.101,0.895,0.077,-1.2691,0.8768,0.0,0.996
0.262,0.175,0.271,7.5,0.65,7.5,0.056,-1.1111,0.8503,0.156,0.843,0.054,-1.1219,0.8484,0.0,0.998
0.262,0.175,0.3,7.5,0.65,7.5,0.037,-0.9346,0.8432,0.0,0.999,0.039,-0.9391,0.85,0.0,0.999
0.262,0.2,0.068,7.5,0.65,7.5,0.159,-2.8295,0.8286,0.115,0.509,0.159,-2.803,0.8117,0.11,0.521
0.262,0.2,0.097,7.5,0.65,7.5,0.138,-2.1319,0.9973,0.103,0.658,0.137,-2.1364,0.9973,0.103,0.671
0.262,0.2,0.126,7.5,0.65,7.5,0.123,-1.9942,0.9892,0.066,0.812,0.125,-1.9972,0.9891,0.061,0.813
0.262,0.2,0.155,7.5,0.65,7.5,0.113,-1.8566,0.9743,0.11,0.827,0.114,-1.8558,0.9742,0.087,0.849
0.262,0.2,0.184,7.5,0.65,7.5,0.116,-1.6898,0.9533,0.026,0.938,0.116,-1.688,0.9534,0.008,0.946
0.262,0.2,0.213,7.5,0.65,7.5,0.122,-1.5258,0.9283,0.177,0.809,0.123,-1.5231,0.9293,0.004,0.979
0.262,0.2,0.242,7.5,0.65,7.5,0.118,-1.3832,0.9051,0.305,0.686,0.121,-1.3754,0.9043,0.281,0.708
0.262,0.2,0.271,7.5,0.65,7.5,0.096,-1.2434,0.8779,0.014,0.983,0.098,-1.245,0.8785,0.0,0.996
0.262,0.2,0.3,7.5,0.65,7.5,0.076,-1.1223,0.861,0.224,0.773,0.073,-1.1217,0.8598,0.001,0.995
0.262,0.225,0.068,7.5,0.65,7.5,0.166,-2.8271,0.8088,0.083,0.51,0.166,-3.1,0.8205,0.076,0.511
0.262,0.225,0.097,7.5,0.65,7.5,0.148,-2.2997,0.8474,0.085,0.622,0.149,-2.1105,0.9066,0.065,0.643
0.262,0.225,0.126,7.5,0.65,7.5,0.133,-1.9913,0.9926,0.081,0.753,0.134,-1.994,0.9928,0.06,0.775
0.262,0.225,0.155,7.5,0.65,7.5,0.124,-1.8711,0.9815,0.097,0.807,0.127,-1.8702,0.9817,0.069,0.834
0.262,0.225,0.184,7.5,0.65,7.5,0.122,-1.7378,0.9659,0.262,0.681,0.121,-1.7398,0.9659,0.316,0.631
0.262,0.225,0.213,7.5,0.65,7.5,0.132,-1.5925,0.9475,0.075,0.894,0.132,-1.5914,0.9463,0.091,0.877
0.262,0.225,0.242,7.5,0.65,7.5,0.129,-1.4645,0.9264,0.182,0.803,0.13,-1.4602,0.925,0.156,0.829
0.262,0.225,0.271,7.5,0.65,7.5,0.133,-1.3407,0.9038,0.097,0.895,0.133,-1.338,0.9036,0.068,0.923
0.262,0.225,0.3,7.5,0.65,7.5,0.115,-1.2132,0.8824,0.179,0.817,0.114,-1.2117,0.8837,0.162,0.836
0.262,0.25,0.068,7.5,0.65,7.5,0.173,-3.1354,0.8432,0.089,0.48,0.174,-3.1114,0.8559,0.083,0.487
0.262,0.25,0.097,7.5,0.65,7.5,0.159,-2.6464,0.7777,0.062,0.636,0.159,-2.5839,0.7302,0.066,0.629
0.262,0.25,0.126,7.5,0.65,7.5,0.141,-1.9918,0.9944,0.098,0.704,0.141,-1.9938,0.9945,0.076,0.727
0.262,0.25,0.155,7.5,0.65,7.5,0.134,-1.8815,0.9851,0.061,0.815,0.136,-1.8834,0.9846,0.069,0.801
0.262,0.25,0.184,7.5,0.65,7.5,0.13,-1.76,0.9755,0.08,0.849,0.13,-1.7587,0.9753,0.05,0.887
0.262,0.25,0.213,7.5,0.65,7.5,0.133,-1.6389,0.9591,0.138,0.819,0.135,-1.6431,0.9589,0.074,0.885
0.262,0.25,0.242,7.5,0.65,7.5,0.139,-1.5191,0.9432,0.16,0.818,0.14,-1.526,0.9434,0.173,0.807
0.262,0.25,0.271,7.5,0.65,7.5,0.148,-1.4044,0.9225,0.382,0.605,0.15,-1.4022,0.9228,0.365,0.625
0.262,0.25,0.3,7.5,0.65,7.5,0.142,-1.3002,0.9022,0.232,0.759,0.145,-1.2978,0.9009,0.209,0.785
0.262,0.275,0.068,7.5,0.65,7.5,0.177,-3.0108,0.8531,0.1,0.432,0.177,-2.8987,0.9103,0.1,0.439
0.262,0.275,0.097,7.5,0.65,7.5,0.166,-2.3578,0.7972,0.105,0.545,0.167,-2.5046,0.8613,0.103,0.527
0.262,0.275,0.126,7.5,0.65,7.5,0.152,-1.9795,0.995,0.104,0.654,0.151,-1.9784,0.9951,0.095,0.666
0.262,0.275,0.155,7.5,0.65,7.5,0.141,-1.877,0.9892,0.06,0.782,0.141,-1.8783,0.989,0.05,0.789
0.262,0.275,0.184,7.5,0.65,7.5,0.136,-1.7759,0.9796,0.094,0.807,0.135,-1.7693,0.9797,0.085,0.812
0.262,0.275,0.213,7.5,0.65,7.5,0.132,-1.6726,0.9678,0.102,0.834,0.131,-1.6723,0.9677,0.095,0.836
0.262,0.275,0.242,7.5,0.65,7.5,0.143,-1.5552,0.9527,0.176,0.785,0.143,-1.5566,0.9524,0.064,0.901
0.262,0.275,0.271,7.5,0.65,7.5,0.152,-1.4464,0.9379,0.153,0.827,0.155,-1.4497,0.9387,0.155,0.827
0.262,0.275,0.3,7.5,0.65,7.5,0.151,-1.3537,0.9201,0.072,0.914,0.15,-1.3554,0.9195,0.042,0.947
0.262,0.3,0.068,7.5,0.65,7.5,0.18,-3.0927,0.8506,0.093,0.436,0.18,-3.1005,0.9028,0.087,0.451
0.262,0.3,0.097,7.5,0.65,7.5,0.17,-2.6763,0.848,0.146,0.477,0.169,-2.7449,0.8319,0.13,0.481
0.262,0.3,0.126,7.5,0.65,7.5,0.159,-1.9744,0.995,0.136,0.596,0.16,-1.9735,0.995,0.107,0.625
0.262,0.3,0.155,7.5,0.65,7.5,0.149,-1.8756,0.9905,0.139,0.682,0.15,-1.8727,0.9909,0.162,0.652
0.262,0.3,0.184,7.5,0.65,7.5,0.141,-1.7794,0.9839,0.114,0.758,0.142,-1.7758,0.984,0.081,0.775
0.262,0.3,0.213,7.5,0.65,7.5,0.142,-1.6804,0.9745,0.114,0.805,0.143,-1.6832,0.9752,0.063,0.861
0.262,0.3,0.242,7.5,0.65,7.5,0.141,-1.5922,0.9614,0.055,0.896,0.141,-1.5953,0.961,0.069,0.891
0.262,0.3,0.271,7.5,0.65,7.5,0.15,-1.4891,0.9481,0.136,0.831,0.149,-1.4886,0.948,0.152,0.807
0.262,0.3,0.3,7.5,0.65,7.5,0.155,-1.4144,0.9325,0.24,0.741,0.157,-1.4152,0.9319,0.255,0.727
0.275,0.1,0.068,7.5,0.65,7.5,0.078,-2.4367,0.9935,0.04,0.844,0.078,-2.4304,0.9935,0.019,0.863
0.275,0.1,0.097,7.5,0.65,7.5,0.056,-2.121,0.955,0.013,0.953,0.054,-2.1257,0.956,0.003,0.967
0.275,0.1,0.126,7.5,0.65,7.5,0.045,-1.6886,0.8861,0.035,0.958,0.045,-1.6862,0.8849,0.0,0.993
0.275,0.1,0.155,7.5,0.65,7.5,0.019,-1.3559,0.8103,0.0,0.999,0.017,-1.3721,0.8048,0.0,0.999
0.275,0.1,0.184,7.5,0.65,7.5,0.009,-1.0522,0.7406,0.0,1.0,0.008,-1.0219,0.737,0.0,1.0
0.275,0.1,0.213,7.5,0.65,7.5,0.003,-0.7972,0.6408,0.0,1.0,0.003,-0.7782,0.6247,0.0,1.0
0.275,0.1,0.242,7.5,0.65,7.5,0.001,-1.3906,0.7165,0.0,1.0,0.001,-0.6977,0.7676,0.0,1.0
0.275,0.1,0.271,7.5,0.65,7.5,0.0,nan,nan,0.0,1.0,0.0,nan,nan,0.0,1.0
0.275,0.1,0.3,7.5,0.65,7.5,0.0,nan,nan,0.0,1.0,0.0,nan,nan,0.0,1.0
0.275,0.125,0.068,7.5,0.65,7.5,0.108,-2.2033,0.9012,0.075,0.715,0.108,-2.35,0.9976,0.067,0.717
